t,f
0.0, 0.0
1.0, 3.6088200819477226E-4
2.0, 0.0013802092765085178
3.0, 0.0029685941595047173
4.0, 0.005043968596966239
5.0, 0.007531355472219033
6.0, 0.010362583417416568
7.0, 0.013475961115650106
8.0, 0.01681592430111407
9.0, 0.02033266623580699
10.0, 0.023981760386491555
11.0, 0.027723782288130484
12.0, 0.031523936115796264
13.0, 0.035351690257786554
14.0, 0.039180425155041596
15.0, 0.0429870958169859
16.0, 0.04675191071663947
17.0, 0.050458028186377374
18.0, 0.05409127096138932
19.0, 0.05763985913439463
20.0, 0.06109416147849234
21.0, 0.0644464648531168
22.0, 0.0676907612205382
23.0, 0.07082255165825317
24.0, 0.07383866664836834
25.0, 0.07673710185210114
26.0, 0.0795168685302783
27.0, 0.08217785774443992
28.0, 0.08472071746384188
29.0, 0.0871467417078857
30.0, 0.08945777086841711
31.0, 0.09165610237952207
32.0, 0.09374441093189011
33.0, 0.09572567746282389
34.0, 0.0976031261901806
35.0, 0.09938016899777473
36.0, 0.1010603565201261
37.0, 0.10264733531515924
38.0, 0.10414481055393408
39.0, 0.10555651369623877
40.0, 0.10688617465955245
41.0, 0.1081374980261873
42.0, 0.10931414286916029
43.0, 0.11041970581137471
44.0, 0.1114577069649187
45.0, 0.11243157842767416
46.0, 0.11334465504293839
47.0, 0.1142001671544305
48.0, 0.11500123511389124
49.0, 0.11575086532155836
50.0, 0.11645194760115782
51.0, 0.11710725373077327
52.0, 0.11771943696911359
53.0, 0.11829103243337574
54.0, 0.1188244582001795
55.0, 0.11932201701501755
56.0, 0.11978589850839987
57.0, 0.12021818182846133
58.0, 0.12062083861032397
59.0, 0.12099573621203696
60.0, 0.12134464115553749
61.0, 0.12134464115553752
62.0, 0.1213446411555375
63.0, 0.12134464115553752
64.0, 0.12134464115553753
65.0, 0.12134464115553752
66.0, 0.1213446411555375
67.0, 0.1213446411555375
68.0, 0.12134464115553752
69.0, 0.12134464115553749
70.0, 0.1213446411555375
71.0, 0.1213446411555375
72.0, 0.1213446411555375
73.0, 0.12134464115553749
74.0, 0.1213446411555375
75.0, 0.12134464115553749
76.0, 0.12134464115553749
77.0, 0.1213446411555375
78.0, 0.1213446411555375
79.0, 0.1213446411555375
80.0, 0.12134464115553752
81.0, 0.12134464115553749
82.0, 0.1213446411555375
83.0, 0.12134464115553752
84.0, 0.12134464115553752
85.0, 0.1213446411555375
86.0, 0.12134464115553749
87.0, 0.12134464115553747
88.0, 0.12134464115553749
89.0, 0.12134464115553749
90.0, 0.1213446411555375
91.0, 0.12134464115553749
92.0, 0.1213446411555375
93.0, 0.1213446411555375
94.0, 0.12134464115553752
95.0, 0.12134464115553752
96.0, 0.1213446411555375
97.0, 0.12134464115553749
98.0, 0.1213446411555375
99.0, 0.12134464115553752
100.0, 0.12134464115553752
101.0, 0.12134464115553749
102.0, 0.1213446411555375
103.0, 0.1213446411555375
104.0, 0.12134464115553749
105.0, 0.1213446411555375
106.0, 0.1213446411555375
107.0, 0.12134464115553749
108.0, 0.12134464115553749
109.0, 0.12134464115553749
110.0, 0.1213446411555375
111.0, 0.1213446411555375
112.0, 0.12134464115553749
113.0, 0.1213446411555375
