t,f
273.0, 0.49546188807272207
274.0, 0.5030470354734781
275.0, 0.5108294412504253
276.0, 0.5187933330390956
277.0, 0.5269241636048417
278.0, 0.5352085190218244
279.0, 0.5436340333530023
280.0, 0.5521893094127654
281.0, 0.5621862012946105
282.0, 0.5721828435695706
283.0, 0.5821792212267779
284.0, 0.5921753186646569
285.0, 0.6021711196814856
286.0, 0.6121666074662001
287.0, 0.6221617645894388
288.0, 0.6321565729948322
289.0, 0.6421510139905456
290.0, 0.6521450682410829
291.0, 0.6621387157593266
292.0, 0.6721319358988598
293.0, 0.682124707346536
294.0, 0.6921170081153134
295.0, 0.7021088155373608
296.0, 0.7121001062574215
297.0, 0.7220908562264519
298.0, 0.7320810406955259
299.0, 0.7420706342100073
300.0, 0.7520596106040006
301.0, 0.7620479429950597
302.0, 0.7720356037791806
303.0, 0.7820225646260588
304.0, 0.7920087964746161
305.0, 0.8019942695288033
306.0, 0.8119789532536699
307.0, 0.8219628163717022
308.0, 0.831945826859437
309.0, 0.8419279519443336
310.0, 0.8519091581019187
311.0, 0.861889411053196
312.0, 0.8718686757623211
313.0, 0.881846916434534
314.0, 0.8918240965143589
315.0, 0.9018001786840627
316.0, 0.9117751248623644
317.0, 0.9217488962034097
318.0, 0.9317214530959909
319.0, 0.9416927551630249
320.0, 0.9516627612612752
321.0, 0.9616314294813257
322.0, 0.9715987171477917
323.0, 0.9815645808197826
324.0, 0.991528976291597
325.0, 1.0014918585936554
326.0, 1.0114531819936667
327.0, 1.0214128999980334
328.0, 1.0313709653534742
329.0, 1.0413273300488763
330.0, 1.051281945317378
331.0, 1.0612347616386566
332.0, 1.0711857287414444
333.0, 1.0811347956062534
334.0, 1.0910819104683138
335.0, 1.1010270208207134
336.0, 1.1109700734177488
337.0, 1.1209110142784668
338.0, 1.130849788690419
339.0, 1.1407863412135943
340.0, 1.1507206156845542
341.0, 1.1606525552207472
342.0, 1.1705821022250145
343.0, 1.1805091983902676
344.0, 1.1904337847043578
345.0, 1.2003558014551006
346.0, 1.2102751882354887
347.0, 1.2201918839490606
348.0, 1.230105826815435
349.0, 1.2400169543760102
350.0, 1.249925203499814
351.0, 1.2598305103895127
352.0, 1.2697328105875627
353.0, 1.2796320389825189
354.0, 1.2895281298154762
355.0, 1.2994210166866556
356.0, 1.3093106325621224
357.0, 1.3191969097806484
358.0, 1.3290797800606828
359.0, 1.338959174507471
360.0, 1.3488350236202828
361.0, 1.3587072572997616
362.0, 1.3685758048553909
363.0, 1.3784405950130734
364.0, 1.3883015559228205
365.0, 1.3981586151665386
366.0, 1.408011699765935
367.0, 1.4178607361905025
368.0, 1.4277056503656156
369.0, 1.437546367680713
370.0, 1.4473828129975685
371.0, 1.4572149106586503
372.0, 1.4670425844955621
373.0, 1.4768657578375657
374.0, 1.4866843535201797
375.0, 1.4964982938938491
376.0, 1.506307500832687
377.0, 1.5161118957432893
378.0, 1.5259113995736062
379.0, 1.5357059328218765
380.0, 1.545495415545625
381.0, 1.5552797673707095
382.0, 1.5650589075004304
383.0, 1.574832754724672
384.0, 1.5846012274291161
385.0, 1.5943642436044747
386.0, 1.60412172085578
387.0, 1.6138735764117094
388.0, 1.6236197271339443
389.0, 1.6333600895265636
390.0, 1.6430945797454668
391.0, 1.6528231136078304
392.0, 1.662545606601581
393.0, 1.672261973894895
394.0, 1.6819721303457265
395.0, 1.6916759905113372
396.0, 1.7013734686578605
397.0, 1.7110644787698601
398.0, 1.720748934559912
399.0, 1.7304267494781922
400.0, 1.740097836722068
401.0, 1.7497621092456934
402.0, 1.759419479769609
403.0, 1.7690698607903368
404.0, 1.7787131645899776
405.0, 1.788349303245798
406.0, 1.797978188639813
407.0, 1.8075997324683597
408.0, 1.8172138462516585
409.0, 1.8268204413433649
410.0, 1.836419428940098
411.0, 1.8460107200909608
412.0, 1.8555942257070366
413.0, 1.8651698565708659
414.0, 1.8747375233458992
415.0, 1.8842971365859302
416.0, 1.8938486067444973
417.0, 1.9033918441842541
418.0, 1.912926759186324
419.0, 1.9224532619596104
420.0, 1.9319712626500742
421.0, 1.941480671349991
422.0, 1.9509813981071522
423.0, 1.960473352934042
424.0, 1.969956445816977
425.0, 1.979430586725188
